			student number:10(人)	course number:5(门)
学号      		姓名      	语文      	高数      	英语      	C语言     	物理      	总分      	平均分    	排名      
2018081106	尹小轩    	88.0      	90.0      	89.0      	97.0      	76.0      	440.0     	88.0      	1         
2018081108	刘功能    	78.0      	89.0      	88.0      	90.0      	82.0      	427.0     	85.4      	2         
2018081104	唐涛      	78.0      	89.0      	90.0      	67.0      	88.0      	412.0     	82.4      	3         
2018081102	杨帅      	89.0      	90.0      	77.0      	86.0      	55.0      	397.0     	79.4      	4         
2018081110	杨洋      	90.0      	78.0      	67.0      	89.0      	70.0      	394.0     	78.8      	5         
2018081101	唐龙      	78.0      	89.0      	67.0      	90.0      	66.0      	390.0     	78.0      	6         
2018081109	许漫      	89.0      	90.0      	78.0      	67.0      	55.0      	379.0     	75.8      	7         
2018081103	李杰      	45.0      	78.0      	95.0      	67.0      	87.0      	372.0     	74.4      	8         
2018081105	唐滔      	78.0      	34.0      	56.0      	78.0      	90.0      	336.0     	67.2      	9         
2018081107	小明      	78.0      	89.0      	67.0      	78.0      	0.0       	312.0     	62.4      	10        
